check_name,table_name,week_ending,pass_count,fail_count,pass_rate
freshness_sla,payments,2026-08-03,3559,673,0.841
freshness_sla,payments,2026-08-10,3122,772,0.8017
freshness_sla,payments,2026-08-17,3160,705,0.8176
freshness_sla,payments,2026-08-24,3752,667,0.8491
freshness_sla,payments,2026-08-31,3263,615,0.8414
freshness_sla,payments,2026-09-07,2930,632,0.8226
freshness_sla,payments,2026-09-14,3098,701,0.8155
freshness_sla,payments,2026-09-21,2950,789,0.789
freshness_sla,customers,2026-08-03,2535,763,0.7686
freshness_sla,customers,2026-08-10,2299,606,0.7914
freshness_sla,customers,2026-08-17,2282,803,0.7397
freshness_sla,customers,2026-08-24,2213,684,0.7639
freshness_sla,customers,2026-08-31,2210,763,0.7434
freshness_sla,customers,2026-09-07,2123,831,0.7187
freshness_sla,customers,2026-09-14,314,2772,0.1017
freshness_sla,customers,2026-09-21,2092,591,0.7797
accepted_values,customers,2026-08-03,3841,578,0.8692
accepted_values,customers,2026-08-10,3882,668,0.8532
accepted_values,customers,2026-08-17,4118,694,0.8558
accepted_values,customers,2026-08-24,3771,581,0.8665
accepted_values,customers,2026-08-31,4164,478,0.897
accepted_values,customers,2026-09-07,3978,658,0.8581
accepted_values,customers,2026-09-14,4434,757,0.8542
accepted_values,customers,2026-09-21,4207,631,0.8696
not_null,returns,2026-08-03,1824,150,0.924
not_null,returns,2026-08-10,1869,115,0.942
not_null,returns,2026-08-17,1995,110,0.9477
not_null,returns,2026-08-24,2095,127,0.9428
not_null,returns,2026-08-31,2117,37,0.9828
not_null,returns,2026-09-07,2146,32,0.9853
not_null,returns,2026-09-14,2065,74,0.9654
not_null,returns,2026-09-21,2076,79,0.9633
value_range,product_catalog,2026-08-03,3659,0,1.0
value_range,product_catalog,2026-08-10,4472,23,0.9949
value_range,product_catalog,2026-08-17,2971,2223,0.572
value_range,product_catalog,2026-08-24,4693,0,1.0
value_range,product_catalog,2026-08-31,4709,157,0.9677
value_range,product_catalog,2026-09-07,4710,0,1.0
value_range,product_catalog,2026-09-14,5042,13,0.9974
value_range,product_catalog,2026-09-21,4294,151,0.966
schema_match,orders,2026-08-03,1463,192,0.884
schema_match,orders,2026-08-10,1401,212,0.8686
schema_match,orders,2026-08-17,1483,321,0.8221
schema_match,orders,2026-08-24,1342,225,0.8564
schema_match,orders,2026-08-31,1201,216,0.8476
schema_match,orders,2026-09-07,1568,256,0.8596
schema_match,orders,2026-09-14,1439,233,0.8606
schema_match,orders,2026-09-21,1378,308,0.8173
